89;6640;2008-02-28;Macjus, Cristina;Anselmo Tobillolargo.;       SM;;82-32;Disponible
90;6641;2008-02-28;Wolf, Ema;Silencio ni§os.;Grupo Norma;;82-32;Disponible
91;6642;2008-02-28;Wolf, Ema;Silencio ni§os.;Grupo Norma;;82-32;Disponible
92;6643;2008-02-28;Rins, Cristina;Argentina una historia, para pensar. ;Kapelusz;;93-075;Disponible
93;6644;2008-02-28;Poe, Edgar Allan;El escarabajo de oro y otros cuentos.;Losada;;82-34;Disponible
94;6645;2008-02-28;Poe, Edgar Allan;El escarabajo de oro y otros cuentos.;Losada;;82-34;Disponible
95;6646;2008-02-28;Kafka, Franz;AmÇrica.;Losada;;82-32;Disponible
96;6647;2008-02-28;Doyle, Arthur Conan;El sabueso de Baskerville.;Estrada;;82-32;Disponible
97;6648;2008-02-28;Doyle, Arthur Conan;El sabueso de Baskerville.;Estrada;;82-32;Disponible
98;6649;2008-02-28;Bornemann, Elsa;Un elefante ocupa mucho espacio.;Alfaguara;;82-34;Disponible
99;6650;2008-02-28;;Manual 4¯ Bonaerense.;Santillana;;372.83;Disponible
100;6651;2008-02-28;Mintz, Frank;Bakunin, cr°tica y acci¢n.  ;Libros de AnarrÇs;;82-082;Disponible
101;6652;2008-02-28;Baigorria, Osvaldo;El amor libre, Eros y Anarqu°a.   ;Libros de AnarrÇs;;82-93;Disponible
102;6653;2008-02-28;Galeano, Eduardo;Las venas abiertas de AmÇrica Latina. ;Cat†logos;;82.4;Disponible
103;6654;2008-02-28;Irving, John;La cuarta mano.  ;Tusquets editores;;82;Disponible
104;6655;2008-02-28;Bonelli, Florencia;Bodas de odio.                            ;Punto de lectura;;860;Disponible
105;6656;2008-02-28;Miguens, Silvia;Ana y el Virrey.;Debolsillo;;860;Disponible
106;6657;2008-02-28;Miguens, Silvia;Una mujer de fin de siglo. ;Debolsillo;;860;Disponible
107;6658;2008-02-28;Lojo,Mar°a Rosa;La princesa federal.    ;Debolsillo;;860;Disponible
108;6659;2008-02-28;Bajo, Cristina;Como vivido cien veces.;Debolsillo;;82-34;Disponible
109;6660;2008-02-28;Bonelli, Florencia;El cuarto arcano.;Alfaguara;;82-32;Disponible
110;6661;2008-02-28;Neustadt, Bernardo;Escribir sobre el agua.  ;Mart°nez;;82-93;Disponible
111;6662;2008-03-15;Garc°a Lorca, Federico;Yerma. La zapatera prodigiosa.;Terramar;;82-2;Disponible
112;6663;2008-03-15;Otero, Rossi;El verano del potro.;Estrada;;82-34;Disponible
113;6664;2008-03-15;Cabal, Graciela Beatriz;Secretos de familia.;Debolsillo;;82-32;Disponible
114;6665;2008-03-15;Souchard, Philippe;RPG, Principios de la reeducaci¢n postural global. ;Paidotribo;;796;Disponible
115;6666;2008-03-15;Mahler, Dnald y otros;Manual ACSM, para la valoraci¢n y prescripci¢n del ejercicio.;Paidotribo;;796;Disponible
